ip,timestamp,request_count,unique_endpoints,mean_time_diff,std_time_diff,error_rate,rare_endpoint_ratio,avg_response_size,response_size_std
117.198.203.191,2025-07-07 00:07:00+00:00,6,6,0.6,0.5477225575051662,0.0,0.0,324.3333333333333,325.2012710102263
117.198.203.191,2025-07-07 00:08:00+00:00,5,4,10.2,17.455658108475888,0.0,0.2,143.6,138.63188666392736
13.89.124.214,2025-07-07 01:06:00+00:00,1,1,0.0,0.0,0.0,1.0,178.0,0.0
147.185.133.75,2025-07-07 04:39:00+00:00,2,1,1.0,0.0,0.5,0.0,168.5,13.435028842544403
152.58.16.63,2025-07-07 03:25:00+00:00,6,6,0.6,1.3416407864998738,0.0,0.0,352.5,359.04136251969635
152.58.16.63,2025-07-07 03:26:00+00:00,2,2,28.0,39.59797974644666,0.0,0.0,83.5,44.54772721475249
172.202.117.213,2025-07-07 05:08:00+00:00,1,1,0.0,0.0,0.0,1.0,154.0,0.0
196.251.70.164,2025-07-07 02:20:00+00:00,1,1,0.0,0.0,0.0,0.0,178.0,0.0
198.235.24.134,2025-07-07 04:46:00+00:00,1,1,0.0,0.0,1.0,0.0,179.0,0.0
198.235.24.159,2025-07-07 01:10:00+00:00,1,1,0.0,0.0,0.0,0.0,178.0,0.0
20.169.104.246,2025-07-07 03:41:00+00:00,1,1,0.0,0.0,0.0,0.0,178.0,0.0
24.44.54.18,2025-07-07 00:35:00+00:00,6,6,0.8,1.3038404810405297,0.0,0.0,330.5,329.60263955253754
24.44.54.18,2025-07-07 00:37:00+00:00,2,2,47.5,65.76093065034893,0.0,0.0,82.5,45.96194077712559
3.131.215.38,2025-07-07 01:04:00+00:00,1,1,0.0,0.0,1.0,0.0,666.0,0.0
3.131.215.38,2025-07-07 01:05:00+00:00,1,1,12.0,0.0,1.0,0.0,666.0,0.0
3.131.215.38,2025-07-07 01:07:00+00:00,2,1,80.0,110.30865786510141,0.5,0.0,156.5,3.5355339059327378
43.129.169.161,2025-07-07 00:01:00+00:00,2,1,1.0,0.0,0.5,0.0,0.0,0.0
43.129.169.161,2025-07-07 01:40:00+00:00,2,1,2975.5,4207.9924548411445,0.5,0.0,0.0,0.0
43.129.169.161,2025-07-07 03:20:00+00:00,2,1,2979.0,4211.527988747077,0.5,0.0,0.0,0.0
43.129.169.161,2025-07-07 04:59:00+00:00,2,1,2991.5,4229.205658276741,0.5,0.0,0.0,0.0
43.130.60.195,2025-07-07 02:59:00+00:00,2,1,3.0,0.0,0.5,0.0,168.5,13.435028842544403
43.153.71.12,2025-07-07 03:52:00+00:00,2,1,1.0,0.0,0.5,0.0,168.5,13.435028842544403
