ip,time,method,endpoint,status,size,agent
43.129.169.161,2025-07-07 00:01:41+00:00,HEAD,/Core/Skin/Login.aspx,301,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
43.129.169.161,2025-07-07 00:01:42+00:00,HEAD,/Core/Skin/Login.aspx,404,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
117.198.203.191,2025-07-07 00:07:32+00:00,GET,/api/user/,200,52,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:07:32+00:00,GET,/api/user/info/,200,115,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:07:33+00:00,GET,/api/cards/banner-ads/,200,52,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:07:34+00:00,GET,/api/cards/play-and-sponsor/,200,563,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:07:35+00:00,GET,/api/cards/play-idiom/?show_previous_day_idiom=true,200,311,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:07:35+00:00,GET,/api/cards/play-idiom/,200,853,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:08:16+00:00,POST,/api/cards/play-and-sponsor/,200,51,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:08:16+00:00,GET,/api/user/info/,200,115,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:08:19+00:00,POST,/api/stats/share-stats/,200,385,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:08:26+00:00,GET,/api/user/info/,200,115,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
117.198.203.191,2025-07-07 00:08:26+00:00,GET,/api/cards/banner-ads/,200,52,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
43.246.163.155,2025-07-07 00:28:25+00:00,GET,/api/user/,200,52,okhttp/4.9.2
43.246.163.155,2025-07-07 00:28:25+00:00,GET,/api/user/info/,200,115,okhttp/4.9.2
43.246.163.155,2025-07-07 00:28:26+00:00,GET,/api/cards/play-and-sponsor/,200,668,okhttp/4.9.2
43.246.163.155,2025-07-07 00:28:26+00:00,GET,/api/cards/banner-ads/,200,52,okhttp/4.9.2
43.246.163.155,2025-07-07 00:28:29+00:00,GET,/api/cards/play-idiom/?show_previous_day_idiom=true,200,311,okhttp/4.9.2
43.246.163.155,2025-07-07 00:28:29+00:00,GET,/api/cards/play-idiom/,200,865,okhttp/4.9.2
43.246.163.155,2025-07-07 00:30:00+00:00,GET,/api/cards/banner-ads/,200,52,okhttp/4.9.2
43.246.163.155,2025-07-07 00:30:00+00:00,GET,/api/user/info/,200,115,okhttp/4.9.2
24.44.54.18,2025-07-07 00:35:38+00:00,GET,/api/user/,200,52,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
24.44.54.18,2025-07-07 00:35:39+00:00,GET,/api/user/info/,200,115,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
24.44.54.18,2025-07-07 00:35:39+00:00,GET,/api/cards/banner-ads/,200,52,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
24.44.54.18,2025-07-07 00:35:39+00:00,GET,/api/cards/play-and-sponsor/,200,609,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
24.44.54.18,2025-07-07 00:35:42+00:00,GET,/api/cards/play-idiom/?show_previous_day_idiom=true,200,311,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
24.44.54.18,2025-07-07 00:35:42+00:00,GET,/api/cards/play-idiom/,200,844,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
24.44.54.18,2025-07-07 00:37:16+00:00,POST,/api/cards/play-and-sponsor/,200,50,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
24.44.54.18,2025-07-07 00:37:17+00:00,GET,/api/user/info/,200,115,culturemaxapk/1 CFNetwork/3826.500.131 Darwin/24.5.0
43.246.163.155,2025-07-07 00:40:01+00:00,GET,/api/user/,200,52,okhttp/4.9.2
